mb_sample_id	local_sample_id	Brain region	Age	Gender
SA149974	EA_F4_BG	Basal ganglia	16 weeks	Female
SA149975	EA_F3_BG	Basal ganglia	16 weeks	Female
SA149976	EA_F5_BG	Basal ganglia	16 weeks	Female
SA149977	EA_F7_BG	Basal ganglia	16 weeks	Female
SA149978	EA_F8_BG	Basal ganglia	16 weeks	Female
SA149979	EA_F1_BG	Basal ganglia	16 weeks	Female
SA149980	EA_F6_BG	Basal ganglia	16 weeks	Female
SA149981	EA_F2_BG	Basal ganglia	16 weeks	Female
SA149982	EA_M4_BG	Basal ganglia	16 weeks	Male
SA149983	EA_M3_BG	Basal ganglia	16 weeks	Male
SA149984	EA_M2_BG	Basal ganglia	16 weeks	Male
SA149985	EA_M1_BG	Basal ganglia	16 weeks	Male
SA149986	EA_M5_BG	Basal ganglia	16 weeks	Male
SA149987	EA_M6_BG	Basal ganglia	16 weeks	Male
SA149988	EA_M7_BG	Basal ganglia	16 weeks	Male
SA149989	EA_M8_BG	Basal ganglia	16 weeks	Male
SA149990	AD_F3_BG	Basal ganglia	3 weeks	Female
SA149991	AD_F2_BG	Basal ganglia	3 weeks	Female
SA149992	AD_F1_BG	Basal ganglia	3 weeks	Female
SA149993	AD_F5_BG	Basal ganglia	3 weeks	Female
SA149994	AD_F4_BG	Basal ganglia	3 weeks	Female
SA149995	AD_F7_BG	Basal ganglia	3 weeks	Female
SA149996	AD_F8_BG	Basal ganglia	3 weeks	Female
SA149997	AD_F6_BG	Basal ganglia	3 weeks	Female
SA149998	AD_M5_BG	Basal ganglia	3 weeks	Male
SA149999	AD_M4_BG	Basal ganglia	3 weeks	Male
SA150000	AD_M3_BG	Basal ganglia	3 weeks	Male
SA150001	AD_M6_BG	Basal ganglia	3 weeks	Male
SA150002	AD_M8_BG	Basal ganglia	3 weeks	Male
SA150003	AD_M7_BG	Basal ganglia	3 weeks	Male
SA150004	AD_M1_BG	Basal ganglia	3 weeks	Male
SA150005	AD_M2_BG	Basal ganglia	3 weeks	Male
SA150006	LA_F7_BG	Basal ganglia	59 weeks	Female
SA150007	LA_F6_BG	Basal ganglia	59 weeks	Female
SA150008	LA_F8_BG	Basal ganglia	59 weeks	Female
SA150009	LA_F1_BG	Basal ganglia	59 weeks	Female
SA150010	LA_F2_BG	Basal ganglia	59 weeks	Female
SA150011	LA_F3_BG	Basal ganglia	59 weeks	Female
SA150012	LA_F5_BG	Basal ganglia	59 weeks	Female
SA150013	LA_F4_BG	Basal ganglia	59 weeks	Female
SA150014	LA_M6_BG	Basal ganglia	59 weeks	Male
SA150015	LA_M8_BG	Basal ganglia	59 weeks	Male
SA150016	LA_M5_BG	Basal ganglia	59 weeks	Male
SA150017	LA_M7_BG	Basal ganglia	59 weeks	Male
SA150018	LA_M4_BG	Basal ganglia	59 weeks	Male
SA150019	LA_M2_BG	Basal ganglia	59 weeks	Male
SA150020	LA_M1_BG	Basal ganglia	59 weeks	Male
SA150021	LA_M3_BG	Basal ganglia	59 weeks	Male
SA150022	EA_F5_CB	Cerebellum	16 weeks	Female
SA150023	EA_F6_CB	Cerebellum	16 weeks	Female
SA150024	EA_F7_CB	Cerebellum	16 weeks	Female
SA150025	EA_F4_CB	Cerebellum	16 weeks	Female
SA150026	EA_F3_CB	Cerebellum	16 weeks	Female
SA150027	EA_F2_CB	Cerebellum	16 weeks	Female
SA150028	EA_F8_CB	Cerebellum	16 weeks	Female
SA150029	EA_F1_CB	Cerebellum	16 weeks	Female
SA150030	EA_M8_CB	Cerebellum	16 weeks	Male
SA150031	EA_M6_CB	Cerebellum	16 weeks	Male
SA150032	EA_M7_CB	Cerebellum	16 weeks	Male
SA150033	EA_M5_CB	Cerebellum	16 weeks	Male
SA150034	EA_M4_CB	Cerebellum	16 weeks	Male
SA150035	EA_M2_CB	Cerebellum	16 weeks	Male
SA150036	EA_M3_CB	Cerebellum	16 weeks	Male
SA150037	EA_M1_CB	Cerebellum	16 weeks	Male
SA150038	AD_F8_CB	Cerebellum	3 weeks	Female
SA150039	AD_F6_CB	Cerebellum	3 weeks	Female
SA150040	AD_F7_CB	Cerebellum	3 weeks	Female
SA150041	AD_F5_CB	Cerebellum	3 weeks	Female
SA150042	AD_F3_CB	Cerebellum	3 weeks	Female
SA150043	AD_F2_CB	Cerebellum	3 weeks	Female
SA150044	AD_F1_CB	Cerebellum	3 weeks	Female
SA150045	AD_F4_CB	Cerebellum	3 weeks	Female
SA150046	AD_M6_CB	Cerebellum	3 weeks	Male
SA150047	AD_M8_CB	Cerebellum	3 weeks	Male
SA150048	AD_M1_CB	Cerebellum	3 weeks	Male
SA150049	AD_M5_CB	Cerebellum	3 weeks	Male
SA150050	AD_M7_CB	Cerebellum	3 weeks	Male
SA150051	AD_M2_CB	Cerebellum	3 weeks	Male
SA150052	AD_M3_CB	Cerebellum	3 weeks	Male
SA150053	AD_M4_CB	Cerebellum	3 weeks	Male
SA150054	LA_F7_CB	Cerebellum	59 weeks	Female
SA150055	LA_F8_CB	Cerebellum	59 weeks	Female
SA150056	LA_F6_CB	Cerebellum	59 weeks	Female
SA150057	LA_F3_CB	Cerebellum	59 weeks	Female
SA150058	LA_F5_CB	Cerebellum	59 weeks	Female
SA150059	LA_F2_CB	Cerebellum	59 weeks	Female
SA150060	LA_F1_CB	Cerebellum	59 weeks	Female
SA150061	LA_F4_CB	Cerebellum	59 weeks	Female
SA150062	LA_M7_CB	Cerebellum	59 weeks	Male
SA150063	LA_M6_CB	Cerebellum	59 weeks	Male
SA150064	LA_M8_CB	Cerebellum	59 weeks	Male
SA150065	LA_M1_CB	Cerebellum	59 weeks	Male
SA150066	LA_M5_CB	Cerebellum	59 weeks	Male
SA150067	LA_M3_CB	Cerebellum	59 weeks	Male
SA150068	LA_M2_CB	Cerebellum	59 weeks	Male
SA150069	LA_M4_CB	Cerebellum	59 weeks	Male
SA150070	EA_F6_CT	Cerebral cortex	16 weeks	Female
SA150071	EA_F7_CT	Cerebral cortex	16 weeks	Female
SA150072	EA_F5_CT	Cerebral cortex	16 weeks	Female
SA150073	EA_F2_CT	Cerebral cortex	16 weeks	Female
SA150074	EA_F1_CT	Cerebral cortex	16 weeks	Female
SA150075	EA_F8_CT	Cerebral cortex	16 weeks	Female
SA150076	EA_F3_CT	Cerebral cortex	16 weeks	Female
SA150077	EA_F4_CT	Cerebral cortex	16 weeks	Female
SA150078	EA_M3_CT	Cerebral cortex	16 weeks	Male
SA150079	EA_M7_CT	Cerebral cortex	16 weeks	Male
SA150080	EA_M8_CT	Cerebral cortex	16 weeks	Male
SA150081	EA_M6_CT	Cerebral cortex	16 weeks	Male
SA150082	EA_M5_CT	Cerebral cortex	16 weeks	Male
SA150083	EA_M2_CT	Cerebral cortex	16 weeks	Male
SA150084	EA_M1_CT	Cerebral cortex	16 weeks	Male
SA150085	EA_M4_CT	Cerebral cortex	16 weeks	Male
SA150086	AD_F1_CT	Cerebral cortex	3 weeks	Female
SA150087	AD_F7_CT	Cerebral cortex	3 weeks	Female
SA150088	AD_F6_CT	Cerebral cortex	3 weeks	Female
SA150089	AD_F5_CT	Cerebral cortex	3 weeks	Female
SA150090	AD_F2_CT	Cerebral cortex	3 weeks	Female
SA150091	AD_F3_CT	Cerebral cortex	3 weeks	Female
SA150092	AD_F8_CT	Cerebral cortex	3 weeks	Female
SA150093	AD_F4_CT	Cerebral cortex	3 weeks	Female
SA150094	AD_M6_CT	Cerebral cortex	3 weeks	Male
SA150095	AD_M8_CT	Cerebral cortex	3 weeks	Male
SA150096	AD_M1_CT	Cerebral cortex	3 weeks	Male
SA150097	AD_M5_CT	Cerebral cortex	3 weeks	Male
SA150098	AD_M7_CT	Cerebral cortex	3 weeks	Male
SA150099	AD_M2_CT	Cerebral cortex	3 weeks	Male
SA150100	AD_M3_CT	Cerebral cortex	3 weeks	Male
SA150101	AD_M4_CT	Cerebral cortex	3 weeks	Male
SA150102	LA_F7_CT	Cerebral cortex	59 weeks	Female
SA150103	LA_F8_CT	Cerebral cortex	59 weeks	Female
SA150104	LA_F6_CT	Cerebral cortex	59 weeks	Female
SA150105	LA_F3_CT	Cerebral cortex	59 weeks	Female
SA150106	LA_F5_CT	Cerebral cortex	59 weeks	Female
SA150107	LA_F2_CT	Cerebral cortex	59 weeks	Female
SA150108	LA_F1_CT	Cerebral cortex	59 weeks	Female
SA150109	LA_F4_CT	Cerebral cortex	59 weeks	Female
SA150110	LA_M7_CT	Cerebral cortex	59 weeks	Male
SA150111	LA_M6_CT	Cerebral cortex	59 weeks	Male
SA150112	LA_M8_CT	Cerebral cortex	59 weeks	Male
SA150113	LA_M1_CT	Cerebral cortex	59 weeks	Male
SA150114	LA_M5_CT	Cerebral cortex	59 weeks	Male
SA150115	LA_M3_CT	Cerebral cortex	59 weeks	Male
SA150116	LA_M2_CT	Cerebral cortex	59 weeks	Male
SA150117	LA_M4_CT	Cerebral cortex	59 weeks	Male
SA150118	EA_F6_HC	Hippocampus	16 weeks	Female
SA150119	EA_F7_HC	Hippocampus	16 weeks	Female
SA150120	EA_F5_HC	Hippocampus	16 weeks	Female
SA150121	EA_F2_HC	Hippocampus	16 weeks	Female
SA150122	EA_F1_HC	Hippocampus	16 weeks	Female
SA150123	EA_F8_HC	Hippocampus	16 weeks	Female
SA150124	EA_F3_HC	Hippocampus	16 weeks	Female
SA150125	EA_F4_HC	Hippocampus	16 weeks	Female
SA150126	EA_M4_HC	Hippocampus	16 weeks	Male
SA150127	EA_M7_HC	Hippocampus	16 weeks	Male
SA150128	EA_M8_HC	Hippocampus	16 weeks	Male
SA150129	EA_M6_HC	Hippocampus	16 weeks	Male
SA150130	EA_M5_HC	Hippocampus	16 weeks	Male
SA150131	EA_M2_HC	Hippocampus	16 weeks	Male
SA150132	EA_M3_HC	Hippocampus	16 weeks	Male
SA150133	EA_M1_HC	Hippocampus	16 weeks	Male
SA150134	AD_F3_HC	Hippocampus	3 weeks	Female
SA150135	AD_F5_HC	Hippocampus	3 weeks	Female
SA150136	AD_F6_HC	Hippocampus	3 weeks	Female
SA150137	AD_F4_HC	Hippocampus	3 weeks	Female
SA150138	AD_F2_HC	Hippocampus	3 weeks	Female
SA150139	AD_F1_HC	Hippocampus	3 weeks	Female
SA150140	AD_F7_HC	Hippocampus	3 weeks	Female
SA150141	AD_F8_HC	Hippocampus	3 weeks	Female
SA150142	AD_M1_HC	Hippocampus	3 weeks	Male
SA150143	AD_M6_HC	Hippocampus	3 weeks	Male
SA150144	AD_M7_HC	Hippocampus	3 weeks	Male
SA150145	AD_M4_HC	Hippocampus	3 weeks	Male
SA150146	AD_M5_HC	Hippocampus	3 weeks	Male
SA150147	AD_M3_HC	Hippocampus	3 weeks	Male
SA150148	AD_M8_HC	Hippocampus	3 weeks	Male
SA150149	AD_M2_HC	Hippocampus	3 weeks	Male
SA150150	LA_F6_HC	Hippocampus	59 weeks	Female
SA150151	LA_F8_HC	Hippocampus	59 weeks	Female
SA150152	LA_F7_HC	Hippocampus	59 weeks	Female
SA150153	LA_F5_HC	Hippocampus	59 weeks	Female
SA150154	LA_F1_HC	Hippocampus	59 weeks	Female
SA150155	LA_F2_HC	Hippocampus	59 weeks	Female
SA150156	LA_F4_HC	Hippocampus	59 weeks	Female
SA150157	LA_F3_HC	Hippocampus	59 weeks	Female
SA150158	LA_M6_HC	Hippocampus	59 weeks	Male
SA150159	LA_M8_HC	Hippocampus	59 weeks	Male
SA150160	LA_M5_HC	Hippocampus	59 weeks	Male
SA150161	LA_M7_HC	Hippocampus	59 weeks	Male
SA150162	LA_M4_HC	Hippocampus	59 weeks	Male
SA150163	LA_M2_HC	Hippocampus	59 weeks	Male
SA150164	LA_M1_HC	Hippocampus	59 weeks	Male
SA150165	LA_M3_HC	Hippocampus	59 weeks	Male
SA150166	EA_F3_HT	Hypothalamus	16 weeks	Female
SA150167	EA_F2_HT	Hypothalamus	16 weeks	Female
SA150168	EA_F4_HT	Hypothalamus	16 weeks	Female
SA150169	EA_F6_HT	Hypothalamus	16 weeks	Female
SA150170	EA_F8_HT	Hypothalamus	16 weeks	Female
SA150171	EA_F1_HT	Hypothalamus	16 weeks	Female
SA150172	EA_F5_HT	Hypothalamus	16 weeks	Female
SA150173	EA_F7_HT	Hypothalamus	16 weeks	Female
SA150174	EA_M3_HT	Hypothalamus	16 weeks	Male
SA150175	EA_M2_HT	Hypothalamus	16 weeks	Male
SA150176	EA_M1_HT	Hypothalamus	16 weeks	Male
SA150177	EA_M4_HT	Hypothalamus	16 weeks	Male
SA150178	EA_M5_HT	Hypothalamus	16 weeks	Male
SA150179	EA_M8_HT	Hypothalamus	16 weeks	Male
SA150180	EA_M7_HT	Hypothalamus	16 weeks	Male
SA150181	EA_M6_HT	Hypothalamus	16 weeks	Male
SA150182	AD_F2_HT	Hypothalamus	3 weeks	Female
SA150183	AD_F1_HT	Hypothalamus	3 weeks	Female
SA150184	AD_F4_HT	Hypothalamus	3 weeks	Female
SA150185	AD_F3_HT	Hypothalamus	3 weeks	Female
SA150186	AD_F5_HT	Hypothalamus	3 weeks	Female
SA150187	AD_F8_HT	Hypothalamus	3 weeks	Female
SA150188	AD_F7_HT	Hypothalamus	3 weeks	Female
SA150189	AD_F6_HT	Hypothalamus	3 weeks	Female
SA150190	AD_M3_HT	Hypothalamus	3 weeks	Male
SA150191	AD_M4_HT	Hypothalamus	3 weeks	Male
SA150192	AD_M2_HT	Hypothalamus	3 weeks	Male
SA150193	AD_M5_HT	Hypothalamus	3 weeks	Male
SA150194	AD_M7_HT	Hypothalamus	3 weeks	Male
SA150195	AD_M6_HT	Hypothalamus	3 weeks	Male
SA150196	AD_M1_HT	Hypothalamus	3 weeks	Male
SA150197	AD_M8_HT	Hypothalamus	3 weeks	Male
SA150198	LA_F7_HT	Hypothalamus	59 weeks	Female
SA150199	LA_F6_HT	Hypothalamus	59 weeks	Female
SA150200	LA_F8_HT	Hypothalamus	59 weeks	Female
SA150201	LA_F1_HT	Hypothalamus	59 weeks	Female
SA150202	LA_F5_HT	Hypothalamus	59 weeks	Female
SA150203	LA_F3_HT	Hypothalamus	59 weeks	Female
